Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years’ time?,What do you think the average income for the class with be in ten years’ time?,What is the ideal age to get married?,When did you start your studies at Fontys?
8-9-2016 13:20:59,dark,iPhone,Male,Dutch,"Bike, train & bus",Software Engineering,What is facebook,1,60,infinity,less than infinity,,1111
8-9-2016 13:20:59,Milk,Samsung,Male,Dutch,Car,Software Engineering,Daily,Plenty,A small loan of a million dollars,A small loan of a million dollars,"Very low, they suck",,2012
8-9-2016 13:21:01,dark,lg,male,dutch,train,mathematics,50 per day,6,130,100000,40000,,2012
8-9-2016 13:21:05,Chocolate,I made my own,Male,Dutch,Train,Software,Never,1,50,10000000,40000,,1321
8-9-2016 13:21:06,Milk,Android,M,Dutch,Bike,Computer Science,Multiple times per day,8,200,40000,30000,,2012
8-9-2016 13:21:11,Dien echte,D´ne Samsung ey,Manneke Pis,Vlaming,Met Dn benenwoagen,Vlaams,Fransen zijn verraders,Frankrijk,EnnEuro,Vlaamse frittekes,Raketijsjes,,Trump
8-9-2016 13:21:14,White,HTC One M8,Male,Dutch,Bycicle,Business Informatics,2 times a day,7,80€,1.000.000€,3€,,"Fall, 2012"
8-9-2016 13:21:15,White,Iphone,Female,Dutch,Bicycle,Mathematical Engineering,0,5,,,,,2013
8-9-2016 13:21:19,Dark,Galaxy S5,!@#$%^&*(),Mario,On foot,Drawing Pingas,Never.,Enough for a week,Bargain price,Googolplex Euros,Beggars change,,2014
8-9-2016 13:21:20,hazelnut,LG Nexus 5x,Man,Dutch,I did not travel to a university,ads-gcd,20 times a day,7,35 euro's,45000,40000,,2013
8-9-2016 13:21:20,Brown,iPhone 6,Male,Dutch,Train,Software Engineering,A lot,6,100 euro,25.000,25.000,,2013
8-9-2016 13:21:32,puur,motorola,vrouw,Nederlands,trein,,dagelijks,5,100 euro,2500 euro,2800 euro,,2013
8-9-2016 13:21:42,Blacker than the blackest black,Smangsmung,Trans-Gender,Nederlands,Segway,Googling,never,239919,10,trillions,"not, unemployed",,6 years ago
8-9-2016 13:21:50,White,Samsung Galaxy Mini S5,Male,Dutch,Bus,ICT & Business,Daily,A lot,80 Euro,65.000 Euro,35.000 Euro,,September 2013
8-9-2016 13:21:51,Melk,Samsung,Man,Nederlands,Bus,Software,5x per dag,15,€200,€4.000,€3.000,,2012-2013
8-9-2016 13:21:56,White,Android ,Male,Dutch,Bus,Software Engineering,Not often,7,€50,€50.000,No clue,,February of 2014
8-9-2016 13:22:04,Milk,Samsung,Male,NL,Bus,Software Engineering,Never,8,200,50k,50k,,2012
8-9-2016 13:22:11,Milk,Samsung galaxy s6,Male,Netherlands,Public transport,ICT,daylie,12,40,40000,2,,4 years ago
8-9-2016 13:22:11,Dark,Nokia 735,Male,Dutch,Bicycle,Media Design,Often,10+,"€150,-",50000,50000,,2013
8-9-2016 13:22:13,Pure,LG,Female,Dutch,By car,Mathematical engineering,One time an hour,9,90 euros,Eh no idea,No idea,,2013
8-9-2016 13:22:14,Que Puur,Que Galaxy S7 Edge,Que Man,Que Nederlands,Que Bus,Que Software Engineering,Quattro ,Sette,centocinquanta,milioni,mille,,Que duemiladodici
8-9-2016 13:22:26,Dark,Android,Male,Dutch,Car,Software Engineering,2 times,Acht,"$99,99",￥375000,€50.000,,20
8-9-2016 13:22:53,pure,iphone,male,dutch,public transport,Software,about once a day,10?????????,60,enough,minimun wage,,2012-2013
8-9-2016 13:23:03,Pure,Apple,Male,Netherlands,by train,Software Engineer,20938 times a day,7,tientje,60.000,60.000,,2013
8-9-2016 13:23:16,White,LG,Female,Dutch,Car,Mathematical Engineering,10,9,250,50000,4000,,2013
8-9-2016 13:23:39,White,Sony Xperia z5 premium,Male,Dutch,by train,Software Engineering,Every 15 minutes,5,100 euro,50.000 euro,35.000 euro,,September 2013
8-9-2016 13:23:45,Milk,Samsung,Male,Dutch,Bike,Software,Once a day,10,"€80,-",€120.000,€90.000,,2012
8-9-2016 13:24:11,Milk,LG G4,Man,Dutch,Bus,Software Engineering,5-10x a day,8,60 euro,-1000 dollas,-1000 dollas,,2013
8-9-2016 13:24:19,Milk,Sony Z3+,Male,Dutch,Bicycle,Business,Daily,12,"€110,-","€40.000,-","€50,000,-",,2011
8-9-2016 13:24:24,brown,iphone,male,romanian,walking,ERP,daily,6,80,120.000,100.000,,2014
8-9-2016 13:24:44,Milk,Huawei,Male,Bulgarian,Bike,ERP and BI,3 times a day,6,80,60000,60000,,2014
8-9-2016 13:24:45,white,samsung s7,male,dutch,train,software engineering,5 times a day,10,100 euros,30000,30000,,2013
8-9-2016 13:26:17,Milk,Samsung,Male,Dutch,Car,Software Engineering,Daily,Plenty,"<script>window.alert(""hoi"");</script>",A small loan of a million dollars,"Very low, they suck",,2012
8-9-2016 13:26:34,milk chocolate,samsung s7,female,Brazilian,by train,Business,very often,20,100,7000 euros,5000,,2014
8-9-2016 13:26:47,M&M's,Google/LG Nexus 5X,Male,Dutch,Cycling,IT & Software,Currently never,~8,"~€120,-",between €4000 - €5000 a montha,between €3000 - €4000 a montha,,In 2013
8-9-2016 13:26:57,milk,samsung,male,ukrainian,walked,pcs,2/day,7,150,a lot,a lot,,2014
8-9-2016 13:27:11,black ,iphone 6s,male,vietnamese ,bike,ict&business,1 per hour,5,20,500000,600000,,2014
8-9-2016 13:27:36,Milk,Samsung,Male,Dutch,"Bike, Bus, Walking",ICT & Software Engineering,3 times a week,5,?,?,?,,September 2013
